ADDRESS,BUILDING TYPE,DWELLING UNITS,YEAR BUILT,LOT AC,LOT SF,BUILDING SF,FAR,BASEMENT SF,GROUND FLOOR SF,HEIGHT
,VACANT,0,,0.0147,640,,0,,,
2044 SE 12TH AVE,CONDOMINIUM,1,1926,,,1747,0,562,594,
,VACANT,0,,0.0055,240,,0,,,
1926 SE HEMLOCK AVE,CONDOMINIUM,1,1956,,,1787,0,896,891,
2135 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,2962,0.578515625,892,892,
2237 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2156,0.42109375,978,978,
1540 SE LADD AVE,DUPLEX,3,1910,0.1554,6771,7388,1.091123911,2108,2136,
2011 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2624,0.5125,800,1224,
1928 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1322,5760,5398,0.937152778,1344,1383,
1844 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1927,0.1175,5120,2775,0.541992188,1080,1095,
,VACANT,0,,0.2296,10000,,0,,,
1726 SE MULBERRY AVE,DUPLEX,3,1912,0.1175,5120,3528,0.6890625,1176,1176,
1720 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1925,0.1175,5120,3232,0.63125,1316,1316,
1517 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1913,0.191,8320,4120,0.495192308,1160,1172,
1630 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3308,0.64609375,896,1092,
2305 SE 20TH AVE # A,SINGLE FAMILY RESIDENCE,1,1925,0.1079,4700,2610,0.555319149,806,1204,
1959 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1909,0.1354,5900,3511,0.595084746,1127,1127,
2104 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1923,0.124,5400,2200,0.407407407,672,1128,
2103 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1469,6400,2544,0.3975,700,1064,
2213 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1922,0.1175,5120,2311,0.451367188,552,1158,
1925 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1938,0.1175,5120,3308,0.64609375,1304,1304,
2110 SE 12TH AVE,SINGLE FAMILY RESIDENCE,3,1924,0.1165,5074,2282,0.449743792,480,1442,
2243 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2396,0.46796875,616,1064,
1819 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3923,0.766210938,1020,1063,
1721 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1469,6400,3893,0.60828125,1242,1243,
1914 SE HEMLOCK AVE,CONDOMINIUM,1,1956,,,1794,0,900,894,
1811 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.0849,3700,2221,0.60027027,700,973,
2062 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1469,6400,2054,0.3209375,840,1214,
1919 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1165,5074,2356,0.464327946,646,1710,
1936 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1954,0.1273,5546,2123,0.382798413,,1232,
1863 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1925,0.097,4224,2200,0.520833333,900,900,
1729 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1953,0.1175,5120,2816,0.55,1268,1268,
2112 SE ELLIOTT AVE,DUPLEX,1,1913,0.1469,6400,5178,0.8090625,1440,1458,
2421 SE ORANGE AVE,EXEMPT,0,1925,3.9284,171120,41742,0.243934081,,41742,
2204 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2401,0.468945313,737,1264,
2019 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1328,5785,2989,0.516681072,1108,1129,
2269 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2000,0.390625,1000,1000,
2014 SE 12TH AVE,APARTMENT,7,1926,0.233,10148,18018,1.77552227,5850,6318,
1710 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1961,0.1175,5120,4205,0.821289063,1903,1902,
1403 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1924,0.076,3312,1636,0.493961353,700,936,
1556 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1922,0.1175,5120,3480,0.6796875,964,964,
1846 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1910,0.2351,10240,4300,0.419921875,1860,1860,
1628 SE LADD AVE APT B,CONDOMINIUM,1,1910,,,1631,0,60,1085,
1845 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1930,0.1175,5120,2366,0.462109375,983,983,
1929 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1165,5074,2587,0.509854158,948,1039,
1837 SE ELLIOTT AVE # 1839,DUPLEX,1,1953,0.2351,10240,3652,0.356640625,1700,1952,
2114 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1165,5074,2560,0.504532913,1080,1080,
1718 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,3,1909,0.1175,5120,2964,0.57890625,900,996,
1552 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2118,0.413671875,1040,1078,
1582 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,3416,0.6671875,1176,1176,
1935 SE ELLIOTT AVE # 1943,APARTMENT,3,1924,0.3072,13380,1224,0.091479821,80,1144,
1627 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1909,0.1175,5120,3856,0.753125,1152,1152,
2446 SE LADD AVE # 2456,COMMERCIAL,0,1922,0.3042,13250,7376,0.556679245,,7376,
2125 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2361,0.461132813,960,981,
1602 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1913,0.1175,5120,3072,0.6,936,936,
1430 SE PALM ST,SINGLE FAMILY RESIDENCE,1,1925,0.0643,2800,1492,0.532857143,746,746,
2108 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1927,0.0879,3830,2088,0.545169713,612,1068,
1615 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1949,0.1175,5120,1262,0.246484375,,1262,
1969 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.093,4050,1976,0.487901235,988,988,
2204 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2104,0.4109375,700,1104,
2235 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1753,0.342382813,450,903,
2100 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1925,0.0585,2550,1529,0.599607843,600,929,
2210 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1297,5650,2420,0.428318584,988,1262,
2040 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1949,0.1175,5120,1695,0.331054688,780,915,
1714 SE LAVENDER ST,SINGLE FAMILY RESIDENCE,1,1924,0.0735,3200,2448,0.765,784,1064,
2285 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2368,0.4625,960,960,
1960 SE HAWTHORNE BLVD,COMMERCIAL,0,1927,0.2245,9780,14466,1.479141104,480,13986,
1540 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,2,1916,0.1352,5888,2611,0.443444293,886,893,
1204 SE CLAY ST,COMMERCIAL,0,1926,0.0574,2500,2032,0.8128,,2032,
2221 SE ELLIOTT AVE # A,SINGLE FAMILY RESIDENCE,1,1910,0.1763,7680,3656,0.476041667,952,1108,
1824 SE ELLIOTT AVE # 1828,DUPLEX,1,1950,0.1763,7680,2764,0.359895833,,2024,
1530 SE HOLLY ST,SINGLE FAMILY RESIDENCE,3,1910,0.2415,10520,7484,0.711406844,2218,2218,
1610 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1909,0.1175,5120,2446,0.477734375,806,809,
1911 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1947,0.1165,5074,2564,0.505321246,560,1044,
2335 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2056,0.4015625,500,1056,
2208 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0927,4040,1768,0.437623762,676,1092,
1565 SE MAPLE AVE,DUPLEX,1,1910,0.1336,5820,3763,0.646563574,1218,1293,
1644 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1911,0.1763,7680,5580,0.7265625,1512,1584,
1619 SE ELLIOTT AVE # 1621,DUPLEX,1,1941,0.1675,7296,2936,0.402412281,1092,1196,
2219 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1926,0.0558,2432,2010,0.826480263,696,930,
1943 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1784,0.3484375,468,916,
1819 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1917,0.1175,5120,3664,0.715625,1260,1286,
2017 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3344,0.653125,1022,1022,
,CONDOMINIUM,1,,,,,0,,,
1517 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,3980,0.77734375,1038,1038,
1349 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1924,0.0845,3680,2822,0.766847826,1016,1032,
2157 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2998,0.585546875,990,1200,
,CONDOMINIUM,2,,,,,0,,,
1845 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,2250,0.439453125,750,750,
1920 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1175,5120,2788,0.54453125,900,992,
1227 SE HARRISON ST # 1233,DUPLEX,1,1962,0.1354,5900,2512,0.425762712,,2512,
1501 SE HOLLY ST # A,SINGLE FAMILY RESIDENCE,2,1905,0.1175,5120,2408,0.4703125,820,820,
2226 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3730,0.728515625,1092,1228,
1817 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1926,0.0918,4000,2716,0.679,1100,1116,
1626 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1925,0.0627,2730,1200,0.43956044,408,792,
2312 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2102,0.410546875,528,1174,
2028 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1906,0.1175,5120,3314,0.647265625,864,1032,
2319 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2342,0.457421875,480,1094,
2145 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2782,0.543359375,810,1372,
2051 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1938,0.1616,7040,2568,0.364772727,1008,1010,
1736 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0845,3680,2612,0.709782609,1056,1056,
2144 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1922,0.2351,10240,2894,0.282617188,1224,1250,
2039 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1931,0.1165,5074,1980,0.390224675,840,840,
1812 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.0845,3680,1461,0.39701087,396,1065,
1661 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1909,0.1175,5120,3492,0.68203125,1078,1154,
2022 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1920,0.1165,5074,2506,0.493890422,1144,1362,
2424 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0781,3400,1538,0.452352941,700,838,
2405 SE LADD AVE # A,SINGLE FAMILY RESIDENCE,2,1953,0.1763,7680,2502,0.32578125,990,1512,
2327 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,2,1924,0.1175,5120,2616,0.5109375,1056,1080,
2408 SE 16TH AVE,EXEMPT,0,1914,2.8931,126024,14016,0.111216911,,14016,
1737 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1907,0.1175,5120,3612,0.70546875,1047,1118,
1550 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1175,5120,3210,0.626953125,896,1024,
2214 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1953,0.1175,5120,2346,0.458203125,450,1512,
2417 SE LADD AVE,MISCELLANEOUS,0,,,,,0,,,
1944 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,2477,0.483789063,888,970,
1553 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1911,0.0953,4150,3104,0.747951807,600,1042,
1320 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1925,0.0597,2600,1940,0.746153846,480,840,
2428 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1984,0.3875,992,992,
1767 SE MAPLE AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1492,6500,4340,0.667692308,1230,1270,
1719 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1909,0.1175,5120,3222,0.629296875,750,988,
2219 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1922,0.1175,5120,2879,0.562304688,1045,1066,
1736 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1915,0.1175,5120,3060,0.59765625,960,1050,
2224 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0826,3600,1989,0.5525,768,1221,
1450 SE PALM ST,SINGLE FAMILY RESIDENCE,1,1925,0.0739,3220,1560,0.48447205,780,780,
2208 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1923,0.123,5360,1705,0.318097015,500,1205,
,VACANT,0,,0.2181,9500,,0,,,
1638 SE 12TH AVE,APARTMENT,12,1925,0.4602,20047,35100,1.750885419,10500,24600,
1853 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,3198,0.624609375,1084,1084,
2237 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2327,0.454492188,936,991,
1982 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1175,5120,3252,0.63515625,984,984,
2220 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1922,0.1175,5120,2829,0.552539063,1116,1116,
1720 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1909,0.1175,5120,4900,0.95703125,1288,1526,
1426 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.0781,3400,1464,0.430588235,500,964,
2219 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2540,0.49609375,960,1080,
1836 SE MULBERRY AVE,SINGLE FAMILY RESIDENCE,2,1924,0.0707,3080,2652,0.861038961,816,1236,
2103 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1135,4944,3250,0.65736246,962,1006,
1545 SE DIVISION ST,SINGLE FAMILY RESIDENCE,1,1948,0.1175,5120,3376,0.659375,1688,1688,
1827 SE 16TH AVE,EXEMPT,0,1926,0.0836,3640,1408,0.386813187,500,908,
1301 SE HARRISON ST # 1307,DUPLEX,1,1924,0.0647,2818,1920,0.68133428,640,1280,
1619 SE LADD AVE,DUPLEX,1,1921,0.1763,7680,5130,0.66796875,1530,1800,
1508 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1903,0.1175,5120,2740,0.53515625,934,974,
1633 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1925,0.1469,6400,3376,0.5275,1388,1388,
1505 SE DIVISION ST,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,2634,0.514453125,1167,1167,
2128 SE 12TH AVE,SINGLE FAMILY RESIDENCE,3,1924,0.1165,5074,1940,0.382341348,240,1080,
2126 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2214,0.432421875,392,1430,
2029 SE 20TH AVE,SINGLE FAMILY RESIDENCE,1,1904,0.1165,5074,2560,0.504532913,1024,1024,
1422 SE PALM ST,SINGLE FAMILY RESIDENCE,1,1926,0.0441,1920,1192,0.620833333,456,736,
1949 SE DIVISION ST,COMMERCIAL,0,,0.2181,9500,,0,,,
1630 SE HOLLY ST,SINGLE FAMILY RESIDENCE,1,1959,0.1469,6400,5564,0.869375,1717,1731,
2429 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1926,0.1175,5120,1344,0.2625,672,672,
2348 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1704,0.3328125,852,852,
,VACANT,0,,0.6508,28350,,0,,,
1562 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2448,0.478125,1020,1020,
1413 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1924,0.0808,3520,1736,0.493181818,800,936,
2102 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1932,0.1175,5120,2408,0.4703125,812,1076,
1837 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1956,0.1175,5120,1976,0.3859375,800,1176,
2037 SE SPRUCE AVE,EXEMPT,0,1923,0.1802,7850,3720,0.47388535,1860,1860,
2028 SE 12TH AVE,SINGLE FAMILY RESIDENCE,3,1924,0.1165,5074,3112,0.613322822,800,1242,
2104 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1912,0.1322,5760,5386,0.935069444,1440,1546,
1943 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2046,0.399609375,600,1446,
1825 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1928,0.1175,5120,2994,0.584765625,1012,1220,
2313 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1948,0.1175,5120,1522,0.297265625,513,1009,
1983 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1922,0.2351,10240,2369,0.231347656,616,1193,
1735 SE LOCUST AVE,SINGLE FAMILY RESIDENCE,1,1909,0.1175,5120,3672,0.7171875,1008,1176,
2314 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1923,0.0771,3360,2028,0.603571429,936,1092,
1624 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1952,0.1139,4960,2747,0.553830645,1100,1228,
2344 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2388,0.46640625,936,948,
2277 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2680,0.5234375,1080,1120,
2229 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1175,5120,2365,0.461914063,960,1005,
2204 SE 12TH AVE,DUPLEX,3,1924,0.1165,5074,2452,0.483247931,480,1472,
2340 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1614,0.315234375,762,852,
2229 SE ORANGE AVE,DUPLEX,1,1924,0.1175,5120,4866,0.950390625,1404,1458,
1990 SE MULBERRY AVE,DUPLEX,1,1910,0.1175,5120,3769,0.736132813,985,1399,
1590 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2740,0.53515625,1120,1120,
2446 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2652,0.51796875,1040,1612,
1425 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1928,0.0669,2915,1680,0.576329331,840,840,
,VACANT,0,,0.1028,4480,,0,,,
1931 SE HEMLOCK AVE,DUPLEX,1,1911,0.1345,5860,4628,0.789761092,1320,1764,
1704 SE LAVENDER ST,SINGLE FAMILY RESIDENCE,1,1923,0.0735,3200,2431,0.7596875,756,1195,
1302 SE BIRCH ST,SINGLE FAMILY RESIDENCE,1,1925,0.0627,2730,2287,0.837728938,895,876,
1832 SE HAZEL ST,SINGLE FAMILY RESIDENCE,1,1924,0.0735,3200,1959,0.6121875,704,753,
1725 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1928,0.0941,4100,2244,0.547317073,800,944,
1543 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1924,0.0808,3520,1772,0.503409091,700,1072,
2101 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1910,0.1165,5074,2584,0.509262909,500,964,
2027 SE LARCH AVE # 2029,DUPLEX,1,1927,0.1165,5074,2912,0.573906188,1344,1568,
1931 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1913,0.1219,5310,4294,0.8086629,1444,1444,
2036 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0795,3463,1680,0.485128501,600,1080,
2016 SE LARCH AVE,SINGLE FAMILY RESIDENCE,1,1920,0.0726,3163,2392,0.756244072,1040,1040,
2118 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,3012,0.58828125,700,1276,
1612 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1922,0.1175,5120,2944,0.575,896,1024,
1848 SE HAZEL ST # 1852,DUPLEX,1,1924,0.0826,3600,3316,0.921111111,1020,1496,
1937 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1941,0.077,3354,1908,0.568872987,584,784,
2300 SE ORANGE AVE,SINGLE FAMILY RESIDENCE,1,1924,0.0839,3653,1509,0.413085136,500,1009,
1741 SE ELLIOTT AVE # 1747,DUPLEX,1,1925,0.1175,5120,3450,0.673828125,960,1546,
1635 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1924,0.0758,3300,1816,0.55030303,780,1036,
2139 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,3226,0.630078125,858,930,
1736 SE HAWTHORNE BLVD # 1764,COMMERCIAL,0,1929,0.4085,17794,11218,0.630437226,,11218,
1752 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1930,0.1175,5120,2912,0.56875,560,1266,
1748 SE 12TH AVE,SINGLE FAMILY RESIDENCE,2,1910,0.1148,5000,4032,0.8064,1120,1232,
1917 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1028,4480,2758,0.615625,814,1086,
1553 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2459,0.480273438,885,885,
2314 SE 12TH AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1228,5350,1872,0.349906542,728,1144,
2236 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1923,0.1175,5120,2185,0.426757813,530,1055,
2042 SE LADD AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2798,0.546484375,750,1244,
2052 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1322,5760,2724,0.472916667,800,1144,
1534 SE HICKORY ST,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,1616,0.315625,618,774,
2111 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1915,0.1322,5760,3358,0.582986111,1100,1194,
2133 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1922,0.1175,5120,2548,0.49765625,1008,1078,
1989 SE LOCUST AVE,DUPLEX,1,1912,0.1171,5100,3126,0.612941176,806,925,
2270 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1736,7560,2800,0.37037037,1100,1100,
2324 SE TAMARACK AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2408,0.4703125,900,1019,
1962 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1925,0.1165,5074,2326,0.458415451,768,1098,
1547 SE ELLIOTT AVE,SINGLE FAMILY RESIDENCE,1,1920,0.1175,5120,2562,0.500390625,728,1054,
1703 SE 16TH AVE,SINGLE FAMILY RESIDENCE,1,1927,0.0838,3650,2324,0.636712329,780,1144,
1638 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1925,0.0774,3370,1324,0.392878338,408,916,
1409 SE HARRISON ST,SINGLE FAMILY RESIDENCE,1,1928,0.0742,3231,1680,0.51996286,840,840,
1524 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1904,0.1175,5120,3971,0.775585938,1100,1132,
2106 SE HEMLOCK AVE,SINGLE FAMILY RESIDENCE,1,1915,0.1165,5074,3670,0.723295231,1232,1206,
2020 SE SPRUCE AVE,SINGLE FAMILY RESIDENCE,1,1918,0.1175,5120,4076,0.79609375,1600,1516,
1748 SE POPLAR AVE,SINGLE FAMILY RESIDENCE,1,1951,0.1175,5120,2895,0.565429688,936,1405,
2120 SE LADD AVE,SINGLE FAMILY RESIDENCE,2,1922,0.1469,6400,2916,0.455625,1308,1308,
2019 SE CYPRESS AVE,SINGLE FAMILY RESIDENCE,1,1924,0.1175,5120,2460,0.48046875,784,1176,
1938 SE LADD AVE,COMMERCIAL,2,1949,0.2973,12950,5672,0.437992278,,5672,
